Wells,minAbs,clotTime,clotAbs,maxAbs,deltaAbs,maxTime,lysAbs,lysTime,clotTolysTime,endTime,AUC
F5,0.042,24.962,0.409,0.776,0.734,330,0.409,632.055,607.093,990,463.05
F6,0.042,24.627,0.416,0.789,0.747,330,0.416,601.899,577.272,900,444.045
F9,0.042,30,0.412,0.781,0.739,330,0.412,616.125,586.125,960,448.455
F10,0.042,32.264,0.43,0.818,0.776,330,0.43,635.06,602.796,1020,485.19
G5,0.042,23.095,0.416,0.79,0.748,390,0.416,913.22,890.125,1290,680.88
G6,0.042,23.182,0.423,0.804,0.762,390,0.423,869.091,845.909,1200,662.85
G9,0.042,26.364,0.39,0.738,0.696,390,0.39,855.455,829.091,1080,592.62
G10,0.042,32.647,0.431,0.82,0.778,450,0.431,931.304,898.657,1200,713.76
H5,0.042,24.524,0.425,0.808,0.766,540,0.425,1338.367,1313.843,1710,1026.33
H6,0.042,25.778,0.426,0.81,0.768,510,0.426,1270.714,1244.936,1590,974.715
H9,0.042,30.938,0.431,0.82,0.778,540,0.431,1297.368,1266.43,1590,1004.28
H10,0.042,29.827,0.444,0.846,0.804,510,0.444,1290,1260.173,1680,1034.715